Source;Protocol;Number
162.254.198.131,;TCP,;1
185.45.195.179,;UDP,;1
192.168.1.2,;LLMNR,;2
192.168.1.2,;NBNS,;3
192.168.1.2,;TCP,;6
192.168.1.2,;TLSv1.2,;5
192.168.1.2,;UDP,;4
213.137.90.194,;UDP,;1
213.180.193.82,;TCP,;1
31.13.72.52,;TLSv1.2,;1
31.130.156.18,;UDP,;1
52.230.83.250,;TLSv1.2,;1
64.233.165.188,;TCP,;1
77.88.55.70,;TCP,;3
77.88.55.70,;TLSv1.2,;2
90.154.72.125,;UDP,;1
fe80::8000:f227:d7ae:8722,;ICMPv6,;1
fe80::d7f:48b6:64a5:916d,;LLMNR,;2
fe80::ffff:ffff:fffe,;ICMPv6,;3
